date,simulated_power_generated,simulated_dc_inverter_input,transmitted_plane_of_array_irradiance,clearsky_GHI,DHI,angle_of_incidence,OT
2019/12/1 0:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 0:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 0:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 0:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 0:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 0:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 1:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 1:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 1:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 1:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 1:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 1:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 2:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 2:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 2:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 2:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 2:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 2:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 3:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 3:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 3:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 3:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 3:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 3:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 4:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 4:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 4:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 4:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 4:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 4:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 5:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 5:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 5:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 5:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 5:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 5:50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 6:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 6:10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 6:20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019/12/1 6:30,2.239115337136512,4.974270665554146,10.661360353666662,10.0,9.0,79.75167103500935,10.0
2019/12/1 6:40,13.165145266909883,16.108975348024863,34.759054723823944,27.0,23.0,77.5682453973753,27.0
2019/12/1 6:50,28.07099103924787,31.314142865463573,68.16625969259178,50.0,38.0,75.31902866003385,50.0
2019/12/1 7:00,45.15324268017222,48.760258739059495,107.2029204480984,77.0,52.0,73.04639371486753,77.0
2019/12/1 7:10,63.00015545898918,67.01118535280992,148.73041729073276,106.0,64.0,70.76571617451563,106.0
2019/12/1 7:20,81.27420909559555,85.72428989935733,192.12696706471627,138.0,75.0,68.48395184993835,138.0
2019/12/1 7:30,99.64673262039828,104.56421182175558,236.6874204320714,170.0,85.0,66.2048903556824,170.0
2019/12/1 7:40,117.24065606778696,122.63024494572704,280.2748341135733,203.0,93.0,63.93108861966474,203.0
2019/12/1 7:50,134.81661599125792,140.7018811069358,324.7633169840991,236.0,101.0,61.66459231035029,236.0
2019/12/1 8:00,150.03024112370915,156.36404175900563,366.17275419615135,269.0,109.0,59.40744189705866,269.0
2019/12/1 8:10,165.6590725090129,172.4725443418247,408.0965774999086,302.0,115.0,57.16115551671351,302.0
2019/12/1 8:20,180.65442570796208,187.9461895924889,449.2996354748186,334.0,121.0,54.92786473302961,334.0
2019/12/1 8:30,194.96655819951224,202.73137778930013,489.3053759619387,365.0,126.0,52.709719653213824,365.0
2019/12/1 8:40,206.66996581803997,214.83367065221088,523.3738097208411,394.0,136.0,50.509175789298126,394.0
2019/12/1 8:50,219.44605936416272,228.05762955738635,561.0683300125196,424.0,141.0,48.32900640580839,424.0
2019/12/1 9:00,231.1797546867817,240.21410155858925,596.5540330902987,453.0,145.0,46.17241409442584,453.0
2019/12/1 9:10,242.3347290593408,251.7811962285774,630.7012557007623,481.0,149.0,44.043245157597575,481.0
2019/12/1 9:20,252.28582143287872,262.1083395993807,662.8745751970673,508.0,152.0,41.94589517791381,508.0
2019/12/1 9:30,261.7605939702318,271.94854879391244,693.2382876201605,533.0,155.0,39.88566006515581,533.0
2019/12/1 9:40,268.9998927889612,279.4719287187972,718.1649438788045,555.0,163.0,37.86886006424241,555.0
2019/12/1 9:50,276.98585083920295,287.7761664265775,744.8530935284926,577.0,166.0,35.90302965369651,577.0
2019/12/1 10:00,283.61279438850585,294.6711342584956,768.8864054965594,598.0,168.0,33.997241270978684,598.0
2019/12/1 10:10,290.2006719040775,301.5289751295505,791.2773362471422,617.0,170.0,32.16235062780417,617.0
2019/12/1 10:20,295.72441121822357,307.28177894775735,811.9125424014627,634.0,172.0,30.41140185462729,634.0
2019/12/1 10:30,300.9065577554146,312.68107335248527,830.6993205196317,650.0,174.0,28.759896066856545,650.0
2019/12/1 10:40,304.1077564683638,316.01750116032156,843.7894107697336,662.0,176.0,27.226094689235,662.0
2019/12/1 10:50,307.7173079141999,319.7805303908845,857.4121368811267,674.0,177.0,25.83111716082018,674.0
2019/12/1 11:00,311.28252734300975,323.49838243828117,871.0360613546716,684.0,179.0,24.59871997229634,684.0
2019/12/1 11:10,313.19282550092174,325.49088894866696,879.2876618637117,692.0,179.0,23.55455568364172,692.0
2019/12/1 11:20,315.40149523432797,327.79497754806596,887.4596361984565,699.0,180.0,22.72464905961578,699.0
2019/12/1 11:30,316.73950518499106,329.1909853956782,892.4327033826634,703.0,181.0,22.13320082933004,703.0
2019/12/1 11:40,316.1235389359995,328.5483011203092,890.1254759165706,703.0,187.0,21.79967502322316,703.0
2019/12/1 11:50,316.11339649181696,328.5377189982004,891.4010743912072,704.0,187.0,21.73597162626158,704.0
2019/12/1 12:00,315.5913558244736,327.99305903040874,889.4534494479601,702.0,187.0,21.9444416340046,702.0
2019/12/1 12:10,314.4264921077195,326.7778034016788,885.118425584526,699.0,186.0,22.417472235863396,699.0
2019/12/1 12:20,313.0453023822504,325.3370066921187,878.7293411120853,693.0,186.0,23.13881765065887,693.0
2019/12/1 12:30,310.66919044386583,322.8587139919395,869.9973971152062,686.0,185.0,24.08608817777661,686.0
2019/12/1 12:40,308.01451753581244,320.0904245258484,859.1220956175488,677.0,184.0,25.233788530936256,677.0
2019/12/1 12:50,304.5970331183974,316.52751977905996,846.157315567907,666.0,183.0,26.55584488542186,666.0
2019/12/1 13:00,300.65635745968643,312.42033883440405,832.0957192393839,653.0,182.0,28.02749628383155,653.0
2019/12/1 13:10,295.8233321231874,307.38482455080907,814.0085326267485,638.0,180.0,29.626331463945466,638.0
2019/12/1 13:20,290.7839667017451,302.1363419164616,794.9586267327968,621.0,178.0,31.332746029996837,621.0
2019/12/1 13:30,284.42658264181625,295.5180805324874,773.2420210535945,603.0,176.0,33.129985340640395,603.0
